title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,taxid_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,treatment,time_point_minutes,cultivar,replicate,sample_id
ctrl30 [NGS247_0001R_RFS28],GSM3538990,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0001R_RFS28,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691498,NONE,DMSO,30,Tsukinohikari,1,NGS247_0001R_RFS28
ctrl30 [NGS247_0002R_RFS29],GSM3538991,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0002R_RFS29,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691497,NONE,DMSO,30,Tsukinohikari,2,NGS247_0002R_RFS29
ctrl30 [NGS247_0003R_RFS30],GSM3538992,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0003R_RFS30,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691496,NONE,DMSO,30,Tsukinohikari,3,NGS247_0003R_RFS30
ctrl90 [NGS247_0004R_RFS31],GSM3538993,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0004R_RFS31,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691495,NONE,DMSO,90,Tsukinohikari,1,NGS247_0004R_RFS31
ctrl90 [NGS247_0005R_RFS32],GSM3538994,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0005R_RFS32,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691494,NONE,DMSO,90,Tsukinohikari,2,NGS247_0005R_RFS32
ctrl90 [NGS247_0006R_RFS33],GSM3538995,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0006R_RFS33,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691493,NONE,DMSO,90,Tsukinohikari,3,NGS247_0006R_RFS33
ctrl240 [NGS247_0007R_RFS34],GSM3538996,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0007R_RFS34,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691492,NONE,DMSO,240,Tsukinohikari,1,NGS247_0007R_RFS34
ctrl240 [NGS247_0008R_RFS35],GSM3538997,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0008R_RFS35,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691491,NONE,DMSO,240,Tsukinohikari,2,NGS247_0008R_RFS35
ctrl240 [NGS247_0009R_RFS36],GSM3538998,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0009R_RFS36,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691490,NONE,DMSO,240,Tsukinohikari,3,NGS247_0009R_RFS36
crest30 [NGS247_0010R_RFS37],GSM3538999,Public on Jun 01 2019,Jan 04 2019,Jun 01 2019,SRA,1,rice suspension culture,Oryza sativa,"doesed with 5mM stokcs of metcamifen or cyprosulfamide, prepared in dimethyl fulfoxide (DMSO) to give a final concentration of 5uM, or DMSO alone as control treatmnet.  Cells sampled at 30,90, and 240 minutes.",Cell suspension cultures 5 day old; n=3,polyA RNA,"Total RNA was extracted using RiboPureTM RNA Purification Kit (Ambion, Inc.)",4530,NGS247_0010R_RFS37,Sequenced on Illumina HiSeqs 2000 system at 9 samples per lane; 100 bp SE reads,GPL13160,"Gerhard,,Leubner-Metzger",gerhard.leubner@rhul.ac.uk,Biological Sciences,Royal Holloway University of London,Bourne Building 3-30,Egham,Surrey,TW20 OEX,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10691489,NONE,Metcamifen,30,Tsukinohikari,1,NGS247_0010R_RFS37
