feature,variance,variance_rank,logreg_importance,logreg_rank,rf_importance,rf_rank,avg_rank
LOC_Os07g13770,3.3474582917654443,38,0.04527300566183029,30,0.02456571871537903,2,23.333333333333332
LOC_Os10g08540,4.422212218486867,14,0.03933549002425158,51,0.009419897108556997,26,30.333333333333332
LOC_Os09g34260,4.227280661550725,20,0.0381238981789141,55,0.012235930932115106,17,30.666666666666668
LOC_Os09g20220,12.478845705817925,1,0.029870526019179597,99,0.01927906444480019,5,35.0
LOC_Os01g08440,11.255801435124086,2,0.026938755079372847,122,0.025181517047545753,1,41.666666666666664
LOC_Os01g64910,4.4843957041463565,11,0.03132542402355603,88,0.009201226758780016,27,42.0
LOC_Os07g44550,2.3266525270473752,106,0.06773865628921402,8,0.010394246263197439,20,44.666666666666664
LOC_Os03g57200,7.503957889915895,5,0.028058074130347315,115,0.01231043956043956,16,45.333333333333336
LOC_Os02g16280,3.5845277055773845,32,0.04142432031580376,47,0.004443478260869565,74,51.0
LOC_Os04g46600,2.1423431912363577,125,0.0425736052144513,40,0.01743028577709569,8,57.666666666666664
LOC_Os10g22310,2.882361854611719,65,0.036985448202628425,59,0.005473024779972095,53,59.0
LOC_Os09g32000,10.623635690140578,3,0.02603563103188122,134,0.005709745762711865,49,62.0
LOC_Os05g34830,4.624388027227046,10,0.026976975730943667,121,0.005397727272727273,55,62.0
LOC_Os11g04860,2.0241902804537566,145,0.04499513942346026,32,0.01615468622286804,9,62.0
LOC_Os02g28220,2.6155834196936647,80,0.034410046070330456,70,0.006222045035709631,42,64.0
LOC_Os04g10060,3.8980750970863216,25,0.024678981401748745,153,0.013032383337321046,14,64.0
LOC_Os07g49114,2.9033231235756594,63,0.028575826157616852,111,0.009983471074380164,21,65.0
LOC_Os06g11260,5.9674540528927205,7,0.02378456659672551,164,0.009765898585236027,24,65.0
LOC_Os07g23570,8.411057778106276,4,0.023293107305313598,170,0.009731489741302408,25,66.33333333333333
LOC_Os07g23710,6.247048552710813,6,0.022357470923792238,187,0.017752897289893547,7,66.66666666666667
LOC_Os01g27200,2.1359051298891716,126,0.03476222232486601,69,0.018280057153652343,6,67.0
LOC_Os10g38150,3.593804869973947,30,0.025128042354153068,143,0.0074016524174829075,34,69.0
LOC_Os06g34530,3.24989400854603,39,0.02586852316696984,136,0.0073797823797823806,35,70.0
LOC_Os05g30510,3.2025401146478893,43,0.03921712102009694,52,0.0028298790666092446,120,71.66666666666667
LOC_Os07g07440,3.084774757384142,54,0.041753874384183064,45,0.002957953063885267,118,72.33333333333333
