,UMAP1,UMAP2
NGS247_0001R_RFS28,5.5192623,16.614933
NGS247_0002R_RFS29,4.1613364,16.780285
NGS247_0003R_RFS30,3.7737558,16.22869
NGS247_0004R_RFS31,6.1579204,16.544432
NGS247_0005R_RFS32,4.0887637,17.16786
NGS247_0006R_RFS33,3.4582431,17.022482
NGS247_0007R_RFS34,6.1875362,17.367323
NGS247_0008R_RFS35,3.4466054,16.548939
NGS247_0009R_RFS36,3.0304244,16.610308
NGS247_0010R_RFS37,5.771425,15.579409
NGS247_0011R_RFS38,4.9143047,14.85871
NGS247_0012R_RFS39,5.4584064,14.848193
NGS247_0013R_RFS40,4.3083878,14.682323
NGS247_0014R_RFS41,5.3475323,14.431281
NGS247_0015R_RFS42,4.819633,14.362487
NGS247_0016R_RFS43,3.6890585,15.445542
NGS247_0017R_RFS44,5.9783654,14.793263
NGS247_0018R_RFS45,6.8390994,16.615482
NGS247_0019R_RFS46,5.073641,16.455502
NGS247_0020R_RFS47,3.3487625,15.966397
NGS247_0021R_RFS48,4.455638,16.383226
NGS247_0022R_RFS49,5.813716,17.053663
NGS247_0023R_RFS50,4.8982677,17.20227
NGS247_0024R_RFS51,6.476146,17.08377
NGS247_0025R_RFS52,6.8334165,17.480516
NGS247_0026R_RFS53,6.2450285,17.906483
NGS247_0027R_RFS54,5.575311,17.67339
